trial_number,lr,num_epochs,unfreeze_epoch,max_length,validation_accuracy,total_time
0,0.0009916705018201263,5,4,32000,0.14285714285714285,679.6785349845886
1,1.4880278725387312e-06,10,0,112000,0.8467403628117912,3501.104193687439
2,1.605435397821256e-05,2,4,48000,0.30076530612244895,229.96508765220642
3,6.029305565606555e-05,7,2,80000,0.14285714285714285,1637.4567461013794
4,0.00010619322783613309,1,0,112000,0.14285714285714285,348.6761140823364
5,1.261180832061153e-05,6,3,64000,0.9620181405895691,1123.9107174873352
6,4.259684887741383e-06,3,1,160000,0.7602040816326531,1261.4198236465454
7,0.0002021227241600257,8,5,48000,0.14285714285714285,1149.5412633419037
8,0.00015036347500975265,5,2,80000,0.14285714285714285,1113.2016372680664
9,5.2506189810980296e-05,1,4,48000,0.36145124716553284,116.0552031993866
10,0.0001266059201852742,8,2,80000,0.14285714285714285,1907.5596554279327
11,1e-06,10,3,48000,0.7197278911564625,1705.4728591442108
12,1e-06,10,4,32000,0.6154761904761904,1292.430831670761
13,0.00010161606936792733,7,3,32000,0.14285714285714285,891.4972386360168
14,7.375677434577536e-05,4,0,160000,0.14285714285714285,1887.6565523147583
15,0.0003727689217065087,1,0,160000,0.14285714285714285,469.5554709434509
16,9.853109298175592e-05,7,5,160000,0.14285714285714285,2498.8856127262115
17,0.0008179460190635056,8,5,160000,0.14285714285714285,2953.931812286377
18,0.000477284024506725,5,5,160000,0.5707482993197278,1587.9674172401428
19,0.001,8,4,32000,0.14285714285714285,938.8134915828705
20,9.768108898661952e-05,6,0,80000,0.14285714285714285,1550.8143546581268
21,0.0009062966176023425,10,5,160000,0.14285714285714285,3870.0413229465485
22,0.0003125932678903191,2,0,32000,0.14285714285714285,308.49160623550415
23,0.001,2,0,32000,0.14285714285714285,309.74816131591797
24,0.001,5,0,32000,0.14285714285714285,763.7137904167175
25,0.00018070472276720447,5,5,32000,0.4546768707482993,422.83139061927795
26,0.0002384328409610175,10,5,160000,0.14285714285714285,3910.475919008255
27,0.00015799765363110342,3,0,160000,0.14285714285714285,1385.429116010666
28,9.100767560205187e-05,6,2,160000,0.14285714285714285,2491.507961034775
29,0.001,5,2,32000,0.14285714285714285,632.4956562519073
30,9.296797843124113e-05,9,5,80000,0.2619047619047619,1869.2525844573975
31,0.00023213157854085588,7,0,32000,0.14285714285714285,1087.2394964694977
32,0.0004096102460702867,10,3,32000,0.14285714285714285,1350.7116022109985
33,0.00024415119206289544,9,3,160000,0.14285714285714285,3726.559262275696
34,0.00046140338413346884,10,5,32000,0.14285714285714285,1204.383312702179
35,0.00016534863127893457,6,0,160000,0.14285714285714285,2800.471053123474
36,0.001,1,4,32000,0.43242630385487535,87.26612949371338
37,0.0006552293526237632,3,0,160000,0.14285714285714285,1405.6008696556091
38,4.0756866163365784e-05,9,0,32000,0.24305555555555555,1396.2634296417236
39,3.573866518831389e-05,1,0,32000,0.37448979591836734,155.9488546848297
40,0.00018207251030289792,1,0,32000,0.14285714285714285,155.73925280570984
41,0.001,7,5,32000,0.14285714285714285,748.9798674583435
42,0.0007734038611405967,10,0,160000,0.14285714285714285,4694.4406542778015
43,0.0005842435903165284,8,0,160000,0.14285714285714285,3719.701193332672
44,0.0007395572477815993,9,2,160000,0.14285714285714285,3819.8818402290344
45,0.00011610333511637895,4,1,32000,0.14285714285714285,541.5393331050873
46,0.00028242928070359584,6,1,32000,0.14285714285714285,844.9536778926849
47,0.000355285550641998,10,0,160000,0.14285714285714285,4576.559820175171
48,0.0003276532445776007,9,5,160000,0.14285714285714285,3425.635303735733
49,0.00017245293306562086,7,2,160000,0.14285714285714285,2933.8747160434723
